단원명;영단어;뜻;예문;해석
Lesson 3 When Is the Club Festival?;birthday;생일;Her birthday is in July, so we will plan a party.;그녀의 생일은 7월이라서 우리는 파티를 계획할 것이다.
Lesson 3 When Is the Club Festival?;concert;연주회;The concert starts at seven tonight.;그 연주회는 오늘 밤 7시에 시작한다.
Lesson 3 When Is the Club Festival?;contest;경연대회;He won the speaking contest last year.;그는 작년에 말하기 대회에서 우승했다.
Lesson 3 When Is the Club Festival?;drone;드론;A drone took photos of the field.;드론이 운동장을 촬영했다.
Lesson 3 When Is the Club Festival?;face;얼굴;Wash your face before the picture.;사진 찍기 전에 얼굴을 씻어라.
Lesson 3 When Is the Club Festival?;field;운동장;We practiced on the field because the gym was closed.;체육관이 닫혀서 우리는 운동장에서 연습했다.
Lesson 3 When Is the Club Festival?;of;~의;This is a picture of my family.;이것은 우리 가족의 사진이다.
Lesson 3 When Is the Club Festival?;or;또는;Do you want tea or juice?;차를 마실래 아니면 주스를 마실래?
Lesson 3 When Is the Club Festival?;sell;팔다;They sell tickets at the gate.;그들은 입구에서 표를 판다.
Lesson 3 When Is the Club Festival?;trip;여행;We will go on a trip if it doesn’t rain.;비가 오지 않으면 우리는 여행을 갈 것이다.
Lesson 3 When Is the Club Festival?;ukulele;우쿨렐레;She learned the ukulele during winter break.;그녀는 겨울 방학 동안 우쿨렐레를 배웠다.
Lesson 3 When Is the Club Festival?;when;언제;When is the club festival this year?;올해 동아리 축제는 언제니?
Lesson 4 Where Is the Post Office?;behind;뒤에;The library is behind the school.;도서관은 학교 뒤에 있다.
Lesson 4 Where Is the Post Office?;between;사이에;The cafe is between the bank and the bookstore.;카페는 은행과 서점 사이에 있다.
Lesson 4 Where Is the Post Office?;block;블록/구간;Walk one block and turn right.;한 블록 걷고 오른쪽으로 돌아라.
Lesson 4 Where Is the Post Office?;corner;모퉁이;There is a kiosk on the corner.;모퉁이에 키오스크가 있다.
Lesson 4 Where Is the Post Office?;excuse;실례(합니다);Excuse me, where is the bus stop?;실례합니다, 버스 정류장이 어디인가요?
Lesson 4 Where Is the Post Office?;front;앞;Please wait in front of the gate.;문 앞에서 기다려라.
Lesson 4 Where Is the Post Office?;garden;정원;We planted flowers in the garden.;우리는 정원에 꽃을 심었다.
Lesson 4 Where Is the Post Office?;hospital;병원;My aunt works at a hospital.;내 이모는 병원에서 일한다.
Lesson 4 Where Is the Post Office?;idea;생각/아이디어;That’s a great idea for our project.;그것은 우리 프로젝트에 좋은 아이디어이다.
Lesson 4 Where Is the Post Office?;left;왼쪽;Turn left at the second light.;두 번째 신호에서 왼쪽으로 돌아라.
Lesson 4 Where Is the Post Office?;police station;경찰서;The police station is across the street.;경찰서는 길 건너편에 있다.
Lesson 4 Where Is the Post Office?;pond;연못;Frogs live in the pond near the park.;공원 근처 연못에 개구리들이 산다.
Lesson 4 Where Is the Post Office?;post office;우체국;Go straight to the post office and mail this.;우체국까지 곧장 가서 이것을 부쳐라.
Lesson 4 Where Is the Post Office?;restaurant;식당;This restaurant is small but clean.;이 식당은 작지만 깨끗하다.
Lesson 4 Where Is the Post Office?;store;가게;The store opens at nine on weekdays.;그 가게는 평일에 9시에 문을 연다.
Lesson 4 Where Is the Post Office?;straight;곧장;Go straight until you see the bridge.;다리가 보일 때까지 곧장 가라.
Lesson 4 Where Is the Post Office?;surprise;놀람;What a surprise! You’re here already.;깜짝이야! 너 벌써 여기 있네.
Lesson 4 Where Is the Post Office?;turn;돌다;Turn right after the school.;학교 다음에서 오른쪽으로 돌아라.
Lesson 4 Where Is the Post Office?;work;일하다/직장;My mom goes to work by subway.;우리 엄마는 지하철로 출근한다.
Lesson 5 I'm Going to See a Movie;before;~전에;Brush your teeth before bed.;자기 전에 이를 닦아라.
Lesson 5 I'm Going to See a Movie;finish;끝내다;I will finish my project tonight.;나는 오늘 밤 프로젝트를 끝낼 것이다.
Lesson 5 I'm Going to See a Movie;last;지난/마지막;I watched that movie last weekend.;나는 지난 주말에 그 영화를 봤다.
Lesson 5 I'm Going to See a Movie;need;필요하다;We need more paper for posters.;우리는 포스터용 종이가 더 필요하다.
Lesson 5 I'm Going to See a Movie;night;밤;It’s a clear night, so we can see many stars.;오늘 밤은 맑아서 별을 많이 볼 수 있다.
Lesson 5 I'm Going to See a Movie;nothing;아무것도 없음;There is nothing in the box now.;지금 상자에는 아무것도 없다.
Lesson 5 I'm Going to See a Movie;shopping;쇼핑;Let’s go shopping after lunch.;점심 먹고 쇼핑하러 가자.
Lesson 5 I'm Going to See a Movie;special;특별한;This day is special because it’s our school day.;오늘은 우리 학교 행사라 특별하다.
Lesson 5 I'm Going to See a Movie;stay;머무르다;Please stay here until I come back.;내가 돌아올 때까지 여기 있어라.
Lesson 5 I'm Going to See a Movie;tomorrow;내일;We are going to the cinema tomorrow.;우리는 내일 영화관에 갈 것이다.
Lesson 6 He Has Short Curly Hair;airport;공항;We met our cousins at the airport.;우리는 공항에서 사촌들을 만났다.
Lesson 6 He Has Short Curly Hair;beautiful;아름다운;The view was beautiful after the rain.;비가 온 뒤 풍경이 아름다웠다.
Lesson 6 He Has Short Curly Hair;brown;갈색;I bought a brown jacket for winter.;나는 겨울용 갈색 재킷을 샀다.
Lesson 6 He Has Short Curly Hair;curly;곱슬의;She has curly hair that looks like waves.;그녀는 물결처럼 보이는 곱슬머리를 가졌다.
Lesson 6 He Has Short Curly Hair;eye;눈;My left eye was itchy, so I washed it.;왼쪽 눈이 가려워서 씻었다.
Lesson 6 He Has Short Curly Hair;over;~위에/넘어;The plane flew over the mountain.;비행기가 산 위를 날아갔다.
Lesson 6 He Has Short Curly Hair;pink;분홍색;She wore a pink dress to the party.;그녀는 파티에 분홍색 드레스를 입었다.
Lesson 6 He Has Short Curly Hair;short;짧은;He cut his hair short for summer.;그는 여름을 위해 머리를 짧게 잘랐다.
Lesson 6 He Has Short Curly Hair;student;학생;Each student brought one book.;각 학생은 책 한 권씩 가져왔다.
Lesson 6 He Has Short Curly Hair;worry;걱정하다;Don’t worry if you make a small mistake.;작은 실수를 해도 걱정하지 마라.
Lesson 7 How Often Do You Eat Breakfast?;again;다시;Try the experiment again with more water.;물을 더 넣고 그 실험을 다시 해 보자.
Lesson 7 How Often Do You Eat Breakfast?;check;확인하다;Check your work before you hand it in.;제출하기 전에 네 과제를 확인해라.
Lesson 7 How Often Do You Eat Breakfast?;habit;습관;Reading before bed is a good habit.;자기 전에 책 읽기는 좋은 습관이다.
Lesson 7 How Often Do You Eat Breakfast?;healthy;건강한;I eat fruit to stay healthy.;나는 건강을 위해 과일을 먹는다.
Lesson 7 How Often Do You Eat Breakfast?;hour;시간;It takes an hour to finish the model.;모형을 완성하는 데 한 시간이 걸린다.
Lesson 7 How Often Do You Eat Breakfast?;lesson;수업;Today’s lesson was about the solar system.;오늘 수업은 태양계에 관한 것이었다.
Lesson 7 How Often Do You Eat Breakfast?;often;자주;We often ride bikes after school.;우리는 방과 후에 자주 자전거를 탄다.
Lesson 7 How Often Do You Eat Breakfast?;once;한 번;We meet once a month to share books.;우리는 한 달에 한 번 책을 나누기 위해 모인다.
Lesson 7 How Often Do You Eat Breakfast?;tell;말하다;Please tell me the rules again.;규칙을 다시 말해 줘.
Lesson 7 How Often Do You Eat Breakfast?;twice;두 번;I brush my teeth twice a day.;나는 하루에 두 번 이를 닦는다.
Lesson 8 I'm Taller Than You;answer;대답;Give a short answer if you are not sure.;확실하지 않으면 짧게 대답해라.
Lesson 8 I'm Taller Than You;arm-wrestling;팔씨름;Let’s do arm-wrestling to see who is stronger.;누가 더 센지 팔씨름을 해 보자.
Lesson 8 I'm Taller Than You;believe;믿다;I believe you because you always tell the truth.;너는 항상 진실을 말하니 나는 너를 믿는다.
Lesson 8 I'm Taller Than You;deer;사슴;We saw a deer when we walked quietly.;우리가 조용히 걸었을 때 사슴을 보았다.
Lesson 8 I'm Taller Than You;different;다른;Our opinions are different, but we’re still friends.;우리의 의견은 다르지만 우리는 여전히 친구다.
Lesson 8 I'm Taller Than You;give;주다;Please give me a minute to think.;생각할 시간을 1분만 줘.
Lesson 8 I'm Taller Than You;heavy;무거운;This box is heavier than that one.;이 상자는 저 상자보다 더 무겁다.
Lesson 8 I'm Taller Than You;race;경주;He won the race because he practiced a lot.;그는 많이 연습해서 경주에서 이겼다.
Lesson 8 I'm Taller Than You;same;같은;We chose the same color by chance.;우리는 우연히 같은 색을 골랐다.
Lesson 8 I'm Taller Than You;strong;강한;You are strong enough to carry this.;너는 이것을 들 만큼 충분히 강하다.
Lesson 8 I'm Taller Than You;than;~보다;She is taller than her brother.;그녀는 남동생보다 키가 더 크다.
Lesson 8 I'm Taller Than You;which;어느/어떤;Which subject do you like the most?;너는 어떤 과목을 가장 좋아하니?
Lesson 8 I'm Taller Than You;win;이기다;We can win if we work together.;우리가 함께하면 이길 수 있다.
Lesson 9 What Do You Think?;any;어떤/아무;Any seat is fine for me.;어떤 자리든 나에게 괜찮다.
Lesson 9 What Do You Think?;back;뒤/뒤로;Please move back a little.;조금만 뒤로 물러나 주세요.
Lesson 9 What Do You Think?;boring;지루한;I stopped the video because it was boring.;지루해서 영상을 멈췄다.
Lesson 9 What Do You Think?;chat;대화하다;We chat online when we finish homework.;우리는 숙제를 끝내면 온라인으로 대화한다.
Lesson 9 What Do You Think?;cheap;싼;These pencils are cheap but useful.;이 연필들은 싸지만 유용하다.
Lesson 9 What Do You Think?;difficult;어려운;The puzzle looked difficult at first.;그 퍼즐은 처음에 어려워 보였다.
Lesson 9 What Do You Think?;easy;쉬운;This task is easy if you follow the steps.;단계를 따르면 이 과제는 쉽다.
Lesson 9 What Do You Think?;expensive;비싼;This toy is too expensive for me.;이 장난감은 나에게 너무 비싸다.
Lesson 9 What Do You Think?;interesting;흥미로운;The book was interesting, so I read it twice.;그 책이 흥미로워서 나는 두 번 읽었다.
Lesson 9 What Do You Think?;present;선물;I gave a present to my friend on his birthday.;나는 그의 생일에 친구에게 선물을 주었다.
Lesson 9 What Do You Think?;smart;똑똑한;She is smart and also very kind.;그녀는 똑똑하고 또한 매우 친절하다.
Lesson 9 What Do You Think?;talk;말하다;We talked about how to save energy.;우리는 에너지를 절약하는 방법에 대해 이야기했다.
Lesson 9 What Do You Think?;think;생각하다;I think this plan will work.;이 계획이 통할 거라고 나는 생각한다.
Lesson 10 Who Wrote the Book?;build;짓다;They will build a small tower for the project.;그들은 프로젝트를 위해 작은 탑을 지을 것이다.
Lesson 10 Who Wrote the Book?;clock;시계;The clock stopped when the power went out.;전기가 나갔을 때 시계가 멈췄다.
Lesson 10 Who Wrote the Book?;invent;발명하다;He wants to invent a new kind of robot.;그는 새로운 종류의 로봇을 발명하고 싶어 한다.
Lesson 10 Who Wrote the Book?;king;왕;The king in the story was kind and fair.;그 이야기 속 왕은 친절하고 공정했다.
Lesson 10 Who Wrote the Book?;sundial;해시계;A sundial shows time with the sun’s shadow.;해시계는 태양의 그림자로 시간을 알려 준다.
Lesson 10 Who Wrote the Book?;tower;탑;We climbed the tower to see the view.;우리는 경치를 보려고 탑을 올랐다.
Lesson 10 Who Wrote the Book?;ugly;못생긴;The mask looked ugly but funny.;그 가면은 못생겨 보였지만 재미있었다.
Lesson 10 Who Wrote the Book?;world;세계;People around the world enjoy this sport.;전 세계 사람들이 이 스포츠를 즐긴다.
Lesson 10 Who Wrote the Book?;young;젊은;The young writer published a book.;젊은 작가가 책을 출판했다.
Lesson 11 We Should Save the Earth;all;모두;All lights must be off at night at school.;학교에서는 밤에 모든 불을 꺼야 한다.
Lesson 11 We Should Save the Earth;bookstore;서점;I found this map at the bookstore.;나는 이 지도를 서점에서 찾았다.
Lesson 11 We Should Save the Earth;earth;지구;We live on the earth, so we should protect it.;우리는 지구에 살기 때문에 지켜야 한다.
Lesson 11 We Should Save the Earth;floor;바닥;Please keep the floor clean after lunch.;점심 후에 바닥을 깨끗이 유지하라.
Lesson 11 We Should Save the Earth;light;불/빛;Turn off the light when you leave.;나갈 때 불을 꺼라.
Lesson 11 We Should Save the Earth;off;꺼진;The computer is off because of the storm.;폭풍 때문에 컴퓨터가 꺼져 있다.
Lesson 11 We Should Save the Earth;recycle;재활용하다;We recycle paper to save trees.;우리는 나무를 아끼기 위해 종이를 재활용한다.
Lesson 11 We Should Save the Earth;save;절약하다;Save water while you take a shower.;샤워할 때 물을 절약해라.
Lesson 11 We Should Save the Earth;should;~해야 한다;You should use the stairs, not the elevator.;엘리베이터 대신 계단을 이용해야 한다.
Lesson 11 We Should Save the Earth;shower;샤워;Take a short shower to save water.;물을 아끼려면 짧게 샤워해라.
Lesson 11 We Should Save the Earth;stairs;계단;Let’s walk up the stairs together.;우리 함께 계단을 걸어 올라가자.
Lesson 11 We Should Save the Earth;way;길/방법;This is a good way to reduce waste.;이것은 쓰레기를 줄이는 좋은 방법이다.
