단원명;영단어;뜻;예문;해석
Lesson 2 What Do You Do On Weekends?;Sunday;일요일;We go hiking on Sunday.;우리는 일요일에 등산을 가.
Lesson 2 What Do You Do On Weekends?;weekend;주말;I rest at home on the weekend.;나는 주말에 집에서 쉬어.
Lesson 3 May I Sit Here?;ahead;앞으로;Go straight ahead to the museum.;박물관까지 곧장 앞으로 가.
Lesson 3 May I Sit Here?;animal;동물;The animal looks friendly.;그 동물은 친절해 보인다.
Lesson 3 May I Sit Here?;borrow;빌리다;Can I borrow your notebook, please?;네 공책을 빌려도 될까?
Lesson 3 May I Sit Here?;bring;가져오다;Please bring your jacket tomorrow.;내일 재킷을 가져와.
Lesson 3 May I Sit Here?;just;방금/그냥;I just finished my homework.;나 방금 숙제를 끝냈어.
Lesson 3 May I Sit Here?;may;~해도 될까요;May I use your phone?;전화 좀 써도 될까요?
Lesson 3 May I Sit Here?;museum;박물관;The museum opens at nine.;박물관은 9시에 문을 열어.
Lesson 3 May I Sit Here?;office;사무실;My dad works in an office.;우리 아빠는 사무실에서 일해.
Lesson 3 May I Sit Here?;phone;전화기;Answer the phone, please.;전화 좀 받아 줘.
Lesson 3 May I Sit Here?;restroom;화장실;The restroom is on the second floor.;화장실은 2층에 있어.
Lesson 3 May I Sit Here?;say;말하다;She says it’s okay.;그녀는 괜찮다고 말해.
Lesson 3 May I Sit Here?;they;그들;They are waiting for the bus.;그들은 버스를 기다리고 있어.
Lesson 3 May I Sit Here?;try;시도하다;Try again and don’t give up.;다시 시도하고 포기하지 마.
Lesson 3 May I Sit Here?;use;사용하다;You can use this desk.;이 책상을 써도 돼.
Lesson 3 May I Sit Here?;wheelchair;휠체어;The museum has a wheelchair for visitors.;박물관에는 방문객용 휠체어가 있어.
Lesson 4 Whose Sock Is This?;airplane;비행기;The airplane is landing now.;비행기가 지금 착륙 중이야.
Lesson 4 Whose Sock Is This?;brush;솔/브러시;Use a brush to paint the wall.;벽을 칠하려면 브러시를 써.
Lesson 4 Whose Sock Is This?;button;단추;Press the button to start.;시작하려면 버튼을 눌러.
Lesson 4 Whose Sock Is This?;heart;심장/마음;She has a warm heart.;그녀는 따뜻한 마음을 가졌어.
Lesson 4 Whose Sock Is This?;long;긴;This road is long and quiet.;이 길은 길고 조용해.
Lesson 4 Whose Sock Is This?;ready;준비된;I’m ready for the test.;나는 시험 준비가 됐어.
Lesson 4 Whose Sock Is This?;shoe;신발;Your shoe is under the chair.;네 신발은 의자 밑에 있어.
Lesson 4 Whose Sock Is This?;sock;양말;Whose sock is this?;이건 누구 양말이니?
Lesson 4 Whose Sock Is This?;tail;꼬리;The cat moves its tail.;고양이가 꼬리를 흔들어.
Lesson 4 Whose Sock Is This?;textbook;교과서;Open your textbook to page 10.;교과서 10쪽을 펴.
Lesson 5 I'd Like Fried Rice;beef;소고기;This soup has beef and vegetables.;이 수프에는 소고기와 채소가 들어 있어.
Lesson 5 I'd Like Fried Rice;delicious;맛있는;This pancake is delicious.;이 팬케이크는 맛있어.
Lesson 5 I'd Like Fried Rice;food;음식;The food smells great.;음식에서 좋은 향이 나.
Lesson 5 I'd Like Fried Rice;fry;튀기다;Don’t fry it too long.;너무 오래 튀기지 마.
Lesson 5 I'd Like Fried Rice;honey;꿀;I like tea with honey.;나는 꿀을 넣은 차를 좋아해.
Lesson 5 I'd Like Fried Rice;noodle;면/국수;Let’s share the noodle soup.;국수국물을 나눠 먹자.
Lesson 5 I'd Like Fried Rice;order;주문하다;May I take your order?;주문 도와드릴까요?
Lesson 5 I'd Like Fried Rice;pancake;팬케이크/전;We make a pancake together.;우리는 같이 팬케이크를 만들어.
Lesson 5 I'd Like Fried Rice;sour;신;The lemon tastes sour but fresh.;레몬은 시지만 상큼해.
Lesson 5 I'd Like Fried Rice;sweet;달콤한;This honey tea is sweet and warm.;이 꿀차는 달콤하고 따뜻해.
Lesson 6 What Will You Do This Summer?;beach;해변;We will swim at the beach tomorrow.;우리는 내일 해변에서 수영할 거야.
Lesson 6 What Will You Do This Summer?;cousin;사촌;I will visit my cousin next week.;나는 다음 주에 사촌을 방문할 거야.
Lesson 6 What Will You Do This Summer?;family;가족;My family travels together every year.;우리 가족은 매년 함께 여행해.
Lesson 6 What Will You Do This Summer?;join;참가하다;I will join a space camp this summer.;나는 이번 여름에 우주 캠프에 참가할 거야.
Lesson 6 What Will You Do This Summer?;learn;배우다;We learn new songs with friends.;우리는 친구들과 새 노래를 배워.
Lesson 6 What Will You Do This Summer?;next;다음의/다음;Next week, our tour starts.;다음 주에 우리 여행이 시작해.
Lesson 6 What Will You Do This Summer?;pick;따다/고르다;Let’s pick apples on the farm.;농장에서 사과를 따자.
Lesson 6 What Will You Do This Summer?;right;오른쪽/맞는;Turn right at the corner.;모퉁이에서 오른쪽으로 돌아.
Lesson 6 What Will You Do This Summer?;space;우주;I want to learn about space.;나는 우주에 대해 배우고 싶어.
Lesson 6 What Will You Do This Summer?;tour;여행/관광;We will tour the city by bus.;우리는 버스로 그 도시를 관광할 거야.
Lesson 6 What Will You Do This Summer?;uncle;삼촌/외삼촌;My uncle teaches me to fish.;삼촌이 나에게 낚시를 가르쳐.
Lesson 6 What Will You Do This Summer?;vacation;방학/휴가;Our vacation starts in July.;우리 방학은 7월에 시작해.
Lesson 6 What Will You Do This Summer?;visit;방문하다;We will visit a museum today.;우리는 오늘 박물관을 방문할 거야.
Lesson 6 What Will You Do This Summer?;week;주;I study English three times a week.;나는 일주일에 세 번 영어를 공부해.
Lesson 6 What Will You Do This Summer?;with;~와 함께;Come with me, please.;나와 함께 와 줘.
Lesson 7 I Visited My Uncle In Jeju-do;during;~동안;I read a book during the trip.;여행 동안 나는 책을 읽었어.
Lesson 7 I Visited My Uncle In Jeju-do;mail;우편/메일;I sent a mail to my teacher.;나는 선생님께 메일을 보냈어.
Lesson 7 I Visited My Uncle In Jeju-do;picnic;소풍;We had a picnic by the sea.;우리는 바닷가에서 소풍을 했어.
Lesson 7 I Visited My Uncle In Jeju-do;sea;바다;The sea was very blue yesterday.;어제 바다는 아주 파랬어.
Lesson 7 I Visited My Uncle In Jeju-do;see;보다/만나다;I saw many fish at the beach.;나는 해변에서 물고기를 많이 봤어.
Lesson 7 I Visited My Uncle In Jeju-do;send;보내다;Please send a postcard to Grandma.;할머니께 엽서를 보내 드려.
Lesson 7 I Visited My Uncle In Jeju-do;shark;상어;We saw a shark in the video.;우리는 영상에서 상어를 봤어.
Lesson 7 I Visited My Uncle In Jeju-do;uncle;삼촌/외삼촌;I visited my uncle in Jeju-do.;나는 제주도에 사는 삼촌을 방문했어.
Lesson 7 I Visited My Uncle In Jeju-do;wear;입다/착용하다;I wore a hat because it was sunny.;맑아서 나는 모자를 썼어.
Lesson 8 How Much Are the Shoes?;boots;부츠;These boots are on sale today.;이 부츠는 오늘 할인 중이야.
Lesson 8 How Much Are the Shoes?;buy;사다;I will buy new pants tomorrow.;나는 내일 새 바지를 살 거야.
Lesson 8 How Much Are the Shoes?;glasses;안경;My glasses broke yesterday.;내 안경이 어제 부러졌어.
Lesson 8 How Much Are the Shoes?;jeans;청바지;These jeans are too small for me.;이 청바지는 나에게 너무 작아.
Lesson 8 How Much Are the Shoes?;large;큰/라지;I need a large size, please.;저는 라지 사이즈가 필요해요.
Lesson 8 How Much Are the Shoes?;medium;중간/미디엄;Medium is fine for the T-shirt.;티셔츠는 미디엄이면 충분해.
Lesson 8 How Much Are the Shoes?;only;오직/단지;I have only ten dollars.;나는 10달러만 있어.
Lesson 8 How Much Are the Shoes?;pants;바지;The black pants look nice.;검은 바지가 멋져 보여.
Lesson 8 How Much Are the Shoes?;sale;세일;The store has a big sale this week.;그 가게는 이번 주에 큰 세일을 해.
Lesson 8 How Much Are the Shoes?;size;사이즈;What size do you want?;어떤 사이즈를 원하니?
Lesson 8 How Much Are the Shoes?;sunglasses;선글라스;I wear sunglasses at the beach.;나는 해변에서 선글라스를 써.
Lesson 9 My Favorite Subject Is Science;art;미술;Art is my favorite subject.;미술은 내가 가장 좋아하는 과목이야.
Lesson 9 My Favorite Subject Is Science;draw;그리다;I draw and color every day.;나는 매일 그리고 색칠해.
Lesson 9 My Favorite Subject Is Science;favorite;가장 좋아하는;This is my favorite song.;이게 내가 제일 좋아하는 노래야.
Lesson 9 My Favorite Subject Is Science;kind;친절한/종류;Be kind to your friends.;친구들에게 친절하게 대해.
Lesson 9 My Favorite Subject Is Science;listen;듣다;Listen to the music, please.;음악을 들어 봐.
Lesson 9 My Favorite Subject Is Science;math;수학;Math is difficult but fun.;수학은 어렵지만 재미있어.
Lesson 9 My Favorite Subject Is Science;music;음악;We listen to music in class.;우리는 수업에서 음악을 들어.
Lesson 9 My Favorite Subject Is Science;P.E.;체육;We have P.E. today.;오늘 우리는 체육이 있어.
Lesson 9 My Favorite Subject Is Science;room;방/교실;Go back to your room, please.;네 방(교실)으로 돌아가.
Lesson 9 My Favorite Subject Is Science;song;노래;This song is popular.;이 노래는 인기 있어.
Lesson 9 My Favorite Subject Is Science;speak;말하다;Speak loudly and clearly.;크고 분명하게 말해.
Lesson 9 My Favorite Subject Is Science;study;공부하다;I study English after dinner.;나는 저녁 먹고 영어를 공부해.
Lesson 9 My Favorite Subject Is Science;subject;과목;What is your favorite subject?;네가 가장 좋아하는 과목은 뭐야?
Lesson 9 My Favorite Subject Is Science;today;오늘;Today we have a music test.;오늘 우리는 음악 시험이 있어.
Lesson 10 What a Nice House!;bath;목욕;Take a bath before bed.;자기 전에 목욕해.
Lesson 10 What a Nice House!;bathroom;욕실;The bathroom is next to my room.;욕실은 내 방 옆에 있어.
Lesson 10 What a Nice House!;bedroom;침실;My bedroom is small but cozy.;내 침실은 작지만 아늑해.
Lesson 10 What a Nice House!;board;칠판;Write your name on the board.;칠판에 네 이름을 써.
Lesson 10 What a Nice House!;classroom;교실;Our classroom is clean and bright.;우리 교실은 깨끗하고 밝아.
Lesson 10 What a Nice House!;collect;모으다;I collect stamps with my dad.;나는 아빠와 우표를 모아.
Lesson 10 What a Nice House!;dream;꿈;I had a strange dream.;나는 이상한 꿈을 꿨어.
Lesson 10 What a Nice House!;library;도서관;Let’s study at the library.;도서관에서 공부하자.
Lesson 10 What a Nice House!;living room;거실;There is a big sofa in the living room.;거실에는 큰 소파가 있어.
Lesson 10 What a Nice House!;locker;사물함;Put your bag in the locker.;사물함에 가방을 넣어.
Lesson 10 What a Nice House!;place;장소;This place is quiet and safe.;이 장소는 조용하고 안전해.
Lesson 10 What a Nice House!;show;보여주다;Show me your drawing, please.;네 그림을 보여 줘.
Lesson 10 What a Nice House!;sink;싱크대;The sink is full of dishes.;싱크대에 접시가 가득해.
Lesson 10 What a Nice House!;sofa;소파;What a nice sofa!;정말 멋진 소파다!
Lesson 10 What a Nice House!;stove;스토브/가스레인지;Be careful near the stove.;스토브 근처에서는 조심해.
Lesson 10 What a Nice House!;toilet;화장실(변기);Flush the toilet after use.;사용 후 변기를 내려.
Lesson 10 What a Nice House!;thing;물건/것;Put this thing on the table.;이 물건을 탁자 위에 올려.
Lesson 11 I Want to Be a Movie Director;children;아이들;Children like funny stories.;아이들은 재미있는 이야기를 좋아해.
Lesson 11 I Want to Be a Movie Director;comedian;코미디언;He wants to be a comedian.;그는 코미디언이 되고 싶어 해.
Lesson 11 I Want to Be a Movie Director;country;나라;Korea is my country.;한국은 내 나라야.
Lesson 11 I Want to Be a Movie Director;designer;디자이너;My aunt is a fashion designer.;내 이모는 패션 디자이너야.
Lesson 11 I Want to Be a Movie Director;director;감독;The director is making a new movie.;감독이 새 영화를 만들고 있어.
Lesson 11 I Want to Be a Movie Director;engineer;엔지니어;My uncle is an engineer in the city.;내 삼촌은 도시에 있는 엔지니어야.
Lesson 11 I Want to Be a Movie Director;hero;영웅;This book is about a hero.;이 책은 한 영웅에 대한 이야기야.
Lesson 11 I Want to Be a Movie Director;people;사람들;Many people visited the museum.;많은 사람들이 박물관을 방문했어.
Lesson 11 I Want to Be a Movie Director;sick;아픈;She is sick, so she stayed home.;그녀는 아파서 집에 있었어.
Lesson 11 I Want to Be a Movie Director;so;그래서;It was cold, so we went inside.;날이 추워서 우리는 안으로 들어갔어.
Lesson 11 I Want to Be a Movie Director;story;이야기;Tell me a short story, please.;짧은 이야기를 하나 해 줘.
Lesson 11 I Want to Be a Movie Director;traveler;여행가/여행자;The traveler wrote about the country.;그 여행자는 그 나라에 대해 글을 썼어.
Lesson 11 I Want to Be a Movie Director;writer;작가;She became a writer yesterday.;그녀는 어제 작가가 되었어.
Lesson 11 I Want to Be a Movie Director;yesterday;어제;I finished the project yesterday.;나는 어제 그 프로젝트를 끝냈어.
