단원명;영단어;뜻;예문;해석
Lesson 4 Let’s Play Basketball;play;놀다/하다;Let’s play soccer.;축구를 하자.
Lesson 4 Let’s Play Basketball;sick;아픈;I am sick.;나는 아파요.
Lesson 4 Let’s Play Basketball;soccer;축구;I like soccer.;나는 축구를 좋아해요.
Lesson 4 Let’s Play Basketball;sound;소리/좋다;Sounds good!;좋아!
Lesson 4 Let’s Play Basketball;tennis;테니스;We play tennis.;우리는 테니스를 해요.
Lesson 5 I Want Chicken;bread;빵;I eat bread.;나는 빵을 먹어요.
Lesson 5 I Want Chicken;cream;크림;I like cream cake.;나는 크림 케이크를 좋아해요.
Lesson 5 I Want Chicken;help;도와주다;Can you help me?;날 도와줄래?
Lesson 5 I Want Chicken;hot;뜨거운;The soup is hot.;수프가 뜨거워요.
Lesson 5 I Want Chicken;ice;얼음;The ice is cold.;얼음이 차가워요.
Lesson 5 I Want Chicken;milk;우유;I drink milk.;나는 우유를 마셔요.
Lesson 5 I Want Chicken;much;많은;I don’t have much time.;시간이 많지 않아요.
Lesson 5 I Want Chicken;noodles;국수;I eat noodles.;나는 국수를 먹어요.
Lesson 5 I Want Chicken;salad;샐러드;I like salad.;나는 샐러드를 좋아해요.
Lesson 5 I Want Chicken;soup;수프;The soup is warm.;수프가 따뜻해요.
Lesson 5 I Want Chicken;want;원하다;I want chicken.;나는 치킨을 원해요.
Lesson 6 Where’s My Cap?;bed;침대;Go to bed.;침대로 가라.
Lesson 6 Where’s My Cap?;box;상자;The box is big.;상자가 커요.
Lesson 6 Where’s My Cap?;bus;버스;I go by bus.;나는 버스로 가요.
Lesson 6 Where’s My Cap?;chair;의자;Sit on the chair.;의자에 앉아라.
Lesson 6 Where’s My Cap?;desk;책상;The desk is clean.;책상이 깨끗해요.
Lesson 6 Where’s My Cap?;fan;선풍기;Turn on the fan.;선풍기를 켜라.
Lesson 6 Where’s My Cap?;know;알다;I know the answer.;나는 답을 알아요.
Lesson 6 Where’s My Cap?;table;테이블;The book is on the table.;책이 탁자 위에 있어요.
Lesson 6 Where’s My Cap?;under;~아래;The cat is under the table.;고양이가 탁자 밑에 있어요.
Lesson 6 Where’s My Cap?;where;어디;Where is my bag?;내 가방은 어디에 있어요?
Lesson 7 It’s Wednesday;art;미술;I like art.;나는 미술을 좋아해요.
Lesson 7 It’s Wednesday;birthday;생일;Today is my birthday.;오늘은 내 생일이에요.
Lesson 7 It’s Wednesday;class;수업;We have an English class.;우리는 영어 수업이 있어요.
Lesson 7 It’s Wednesday;computer;컴퓨터;I use a computer.;나는 컴퓨터를 사용해요.
Lesson 7 It’s Wednesday;cook;요리하다;I can cook pasta.;나는 파스타를 요리할 수 있어요.
Lesson 7 It’s Wednesday;day;날;Today is a happy day.;오늘은 즐거운 날이에요.
Lesson 7 It’s Wednesday;hike;등산;Let’s go hiking.;등산 가자.
Lesson 7 It’s Wednesday;lunch;점심;I eat lunch at school.;나는 학교에서 점심을 먹어요.
Lesson 7 It’s Wednesday;party;파티;I go to a party.;나는 파티에 가요.
Lesson 7 It’s Wednesday;today;오늘;Today is Wednesday.;오늘은 수요일이에요.
Lesson 7 It’s Wednesday;wait;기다리다;Wait for me.;나를 기다려라.
Lesson 8 How Much Is It?;car;자동차;This is my car.;이것은 내 자동차예요.
Lesson 8 How Much Is It?;case;케이스;This is a pencil case.;이것은 필통이에요.
Lesson 8 How Much Is It?;comic;만화책;I read a comic.;나는 만화책을 읽어요.
Lesson 8 How Much Is It?;hundred;백;One hundred students are here.;학생 백 명이 여기에 있어요.
Lesson 8 How Much Is It?;idea;생각;That’s a good idea.;좋은 생각이야.
Lesson 8 How Much Is It?;skirt;치마;The skirt is short.;치마가 짧아요.
Lesson 8 How Much Is It?;take;가지다;I’ll take it.;그걸로 할게요.
Lesson 8 How Much Is It?;thousand;천;One thousand won.;천 원이에요.
Lesson 8 How Much Is It?;toy;장난감;This is my toy.;이것은 내 장난감이에요.
Lesson 8 How Much Is It?;will;~할 것이다;I will study.;나는 공부할 거예요.
Lesson 9 Is This Your Bag?;bottle;병;This is a water bottle.;이것은 물병이에요.
Lesson 9 Is This Your Bag?;brown;갈색;The bag is brown.;가방은 갈색이에요.
Lesson 9 Is This Your Bag?;clean;깨끗한;The room is clean.;방이 깨끗해요.
Lesson 9 Is This Your Bag?;find;찾다;Find my bag.;내 가방을 찾아라.
Lesson 9 Is This Your Bag?;gray;회색;My cap is gray.;내 모자는 회색이에요.
Lesson 9 Is This Your Bag?;notebook;공책;This is my notebook.;이것은 내 공책이에요.
Lesson 9 Is This Your Bag?;park;공원;I play in the park.;나는 공원에서 놀아요.
Lesson 9 Is This Your Bag?;shoe;신발;I have new shoes.;나는 새 신발이 있어요.
Lesson 9 Is This Your Bag?;so;그래서;I’m tired, so I’ll rest.;나는 피곤해서 쉴 거예요.
Lesson 9 Is This Your Bag?;umbrella;우산;Take an umbrella.;우산을 가져가라.
Lesson 9 Is This Your Bag?;watch;시계;This is a watch.;이것은 시계예요.
Lesson 10 What Time Is It?;breakfast;아침;It’s time for breakfast.;아침 먹을 시간이야.
Lesson 10 What Time Is It?;dinner;저녁;We have dinner.;우리는 저녁을 먹어요.
Lesson 10 What Time Is It?;eleven;열하나;It’s eleven o’clock.;11시예요.
Lesson 10 What Time Is It?;fun;재미;This game is fun.;이 게임은 재미있어.
Lesson 10 What Time Is It?;movie;영화;I watch a movie.;나는 영화를 봐요.
Lesson 10 What Time Is It?;music;음악;I like music.;나는 음악을 좋아해요.
Lesson 10 What Time Is It?;school;학교;This is my school.;이것은 내 학교예요.
Lesson 10 What Time Is It?;thirty;삼십;It’s seven thirty.;7시 30분이에요.
Lesson 10 What Time Is It?;time;시간;What time is it?;지금 몇 시예요?
Lesson 10 What Time Is It?;twelve;열둘;It’s twelve o’clock.;12시예요.
Lesson 10 What Time Is It?;twenty;스물;It’s twenty dollars.;20달러예요.
Lesson 11 I’m Drawing a Picture;cookie;쿠키;I eat a cookie.;나는 쿠키를 먹어요.
Lesson 11 I’m Drawing a Picture;draw;그리다;I can draw a picture.;나는 그림을 그릴 수 있어요.
Lesson 11 I’m Drawing a Picture;homework;숙제;I do my homework.;나는 숙제를 해요.
Lesson 11 I’m Drawing a Picture;make;만들다;I make a cake.;나는 케이크를 만들어요.
Lesson 11 I’m Drawing a Picture;picture;그림;This is a picture.;이것은 그림이에요.
Lesson 11 I’m Drawing a Picture;read;읽다;I read a book.;나는 책을 읽어요.
Lesson 11 I’m Drawing a Picture;smell;냄새 맡다;Smell the flower.;꽃 냄새를 맡아라.
Lesson 11 I’m Drawing a Picture;sure;물론;Sure, I can help.;물론, 도와줄게.
Lesson 12 What Do You Do?;cool;멋진;That’s cool!;멋지다!
Lesson 12 What Do You Do?;doctor;의사;He is a doctor.;그는 의사예요.
Lesson 12 What Do You Do?;model;모델;She is a model.;그녀는 모델이에요.
Lesson 12 What Do You Do?;nurse;간호사;My mom is a nurse.;우리 엄마는 간호사예요.
Lesson 12 What Do You Do?;painter;화가;He is a painter.;그는 화가예요.
Lesson 12 What Do You Do?;pilot;조종사;My uncle is a pilot.;우리 삼촌은 조종사예요.
Lesson 12 What Do You Do?;teacher;선생님;She is a teacher.;그녀는 선생님이에요.
Lesson 12 What Do You Do?;uncle;삼촌;My uncle is kind.;우리 삼촌은 친절해요.
Lesson 12 What Do You Do?;writer;작가;He is a writer.;그는 작가예요.
